StartPoint,Step,Position,Fitness
0,0,0,100
0,1,8,3972
0,2,10,4100
1,0,1,941
1,1,9,4069
1,2,11,4071
1,3,10,4100
2,0,2,1668
2,1,10,4100
3,0,3,2287
3,1,11,4071
3,2,10,4100
4,0,4,2804
4,1,12,3988
5,0,5,3225
5,1,13,3857
5,2,9,4069
5,3,11,4071
5,4,10,4100
6,0,6,3556
6,1,7,3803
7,0,7,3803
8,0,8,3972
8,1,10,4100
9,0,9,4069
9,1,11,4071
9,2,10,4100
10,0,10,4100
11,0,11,4071
11,1,10,4100
12,0,12,3988
13,0,13,3857
13,1,9,4069
13,2,11,4071
13,3,10,4100
14,0,14,3684
14,1,10,4100
15,0,15,3475
15,1,11,4071
15,2,10,4100
16,0,16,3236
17,0,17,2973
17,1,16,3236
18,0,18,2692
18,1,16,3236
19,0,19,2399
19,1,17,2973
19,2,16,3236
20,0,20,2100
20,1,16,3236
21,0,21,1801
21,1,5,3225
21,2,13,3857
21,3,9,4069
21,4,11,4071
21,5,10,4100
22,0,22,1508
22,1,6,3556
22,2,7,3803
23,0,23,1227
23,1,7,3803
24,0,24,964
24,1,8,3972
24,2,10,4100
25,0,25,725
25,1,9,4069
25,2,11,4071
25,3,10,4100
26,0,26,516
26,1,10,4100
27,0,27,343
27,1,11,4071
27,2,10,4100
28,0,28,212
28,1,12,3988
29,0,29,129
29,1,13,3857
29,2,9,4069
29,3,11,4071
29,4,10,4100
30,0,30,100
30,1,14,3684
30,2,10,4100
31,0,31,131
31,1,15,3475
31,2,11,4071
31,3,10,4100
