StartPoint,Step,Position,Fitness
0,0,0,100
0,1,1,941
0,2,3,2287
0,3,7,3803
1,0,1,941
1,1,3,2287
1,2,7,3803
2,0,2,1668
2,1,3,2287
2,2,7,3803
3,0,3,2287
3,1,7,3803
4,0,4,2804
4,1,5,3225
4,2,7,3803
5,0,5,3225
5,1,7,3803
6,0,6,3556
6,1,7,3803
7,0,7,3803
8,0,8,3972
8,1,9,4069
8,2,11,4071
8,3,10,4100
9,0,9,4069
9,1,11,4071
9,2,10,4100
10,0,10,4100
11,0,11,4071
11,1,10,4100
12,0,12,3988
13,0,13,3857
13,1,12,3988
14,0,14,3684
14,1,12,3988
15,0,15,3475
15,1,14,3684
15,2,12,3988
16,0,16,3236
17,0,17,2973
17,1,16,3236
18,0,18,2692
18,1,16,3236
19,0,19,2399
19,1,18,2692
19,2,16,3236
20,0,20,2100
20,1,16,3236
21,0,21,1801
21,1,20,2100
21,2,16,3236
22,0,22,1508
22,1,20,2100
22,2,16,3236
23,0,23,1227
23,1,22,1508
23,2,20,2100
23,3,16,3236
24,0,24,964
24,1,16,3236
25,0,25,725
25,1,24,964
25,2,16,3236
26,0,26,516
26,1,24,964
26,2,16,3236
27,0,27,343
27,1,26,516
27,2,24,964
27,3,16,3236
28,0,28,212
28,1,24,964
28,2,16,3236
29,0,29,129
29,1,28,212
29,2,24,964
29,3,16,3236
30,0,30,100
30,1,31,131
30,2,27,343
30,3,26,516
30,4,24,964
30,5,16,3236
31,0,31,131
31,1,27,343
31,2,26,516
31,3,24,964
31,4,16,3236
