Generation,BestFitness,WorstFitness,MeanFitness,StdDevFitness,FunctionEvaluations
0,523.4521,1245.6789,845.3214,234.5678,300
150,89.4521,345.6789,198.4521,89.4521,45300
300,12.3456,98.7654,45.3214,32.4521,90300
450,2.3456,28.4521,12.3456,9.4521,135300
600,0.4521,8.9456,3.4521,2.9456,180300
750,0.0894,2.8945,0.9456,0.7894,225300
900,0.0234,0.8945,0.3214,0.2456,270300
1050,0.0056,0.2894,0.0945,0.0789,315300
1200,0.0012,0.0894,0.0284,0.0234,360300
1350,0.0003,0.0284,0.0089,0.0078,405300
1500,0.00008,0.0089,0.0028,0.0024,450300
1650,0.00002,0.0028,0.0009,0.0008,495300
1800,0.000006,0.0009,0.0003,0.0003,540300
1950,0.000002,0.0003,0.0001,0.0001,585300
2100,0.0000008,0.0001,0.00005,0.00004,630300
2250,0.0000003,0.00005,0.00002,0.00002,675300
2400,0.0000001,0.00002,0.00001,0.000008,720300
2550,0.00000005,0.00001,0.000005,0.000004,765300
2700,0.00000002,0.000005,0.000002,0.000002,810300
2850,0.00000001,0.000002,0.000001,0.000001,855300
3000,0.000000005,0.000001,0.0000005,0.0000004,900300
