Generation,BestFitness,WorstFitness,MeanFitness,StdDevFitness,FunctionEvaluations
0,285.4231,892.3421,545.2341,182.4521,300
100,12.4521,98.7654,42.3214,28.4521,30300
200,3.2145,45.3214,18.4521,12.3421,60300
300,0.8954,28.4521,10.2341,8.4521,90300
400,0.2341,18.4521,6.2341,5.2341,120300
500,0.0894,12.3214,3.8945,3.4521,150300
600,0.0342,8.4521,2.1245,2.1234,180300
700,0.0124,5.2341,1.2341,1.4521,210300
800,0.0054,3.4521,0.6234,0.8234,240300
900,0.0024,2.1234,0.3214,0.4521,270300
1000,0.0012,1.4521,0.1845,0.2341,300300
1100,0.0006,0.8234,0.0945,0.1234,330300
1200,0.0003,0.4521,0.0521,0.0734,360300
1300,0.0002,0.2341,0.0284,0.0421,390300
1400,0.0001,0.1234,0.0152,0.0234,420300
1500,0.00008,0.0734,0.0089,0.0134,450300
1600,0.00006,0.0421,0.0051,0.0089,480300
1700,0.00004,0.0234,0.0032,0.0054,510300
1800,0.00003,0.0134,0.0021,0.0034,540300
1900,0.00002,0.0089,0.0014,0.0024,570300
2000,0.00002,0.0054,0.0009,0.0016,600300
2100,0.00002,0.0034,0.0006,0.0011,630300
2200,0.00002,0.0024,0.0005,0.0008,660300
2300,0.00002,0.0016,0.0004,0.0006,690300
2400,0.00002,0.0011,0.0003,0.0004,720300
2500,0.00002,0.0008,0.0003,0.0003,750300
2600,0.00002,0.0006,0.0002,0.0002,780300
2700,0.00002,0.0004,0.0002,0.0002,810300
2800,0.00002,0.0003,0.0002,0.0001,840300
2900,0.00002,0.0002,0.0002,0.0001,870300
3000,0.00002,0.0002,0.0002,0.0001,900300
