Generation,BestFitness,WorstFitness,MeanFitness,StdDevFitness,FunctionEvaluations
0,-2845.32,1245.67,-524.89,1234.56,1000
250,-6234.45,-1234.56,-3456.78,1456.78,251000
500,-8456.78,-3456.78,-5678.90,1123.45,501000
750,-9567.89,-4567.89,-6789.12,934.56,751000
1000,-10234.56,-5678.90,-7890.23,823.45,1001000
1250,-10678.90,-6789.12,-8901.34,745.67,1251000
1500,-10956.78,-7890.23,-9678.45,678.90,1501000
1750,-11123.45,-8901.34,-10234.56,623.45,1751000
2000,-11267.89,-9678.45,-10678.90,567.89,2001000
2250,-11345.67,-10234.56,-10956.78,512.34,2251000
2500,-11389.12,-10678.90,-11123.45,467.89,2501000
2750,-11423.45,-10956.78,-11267.89,423.45,2751000
3000,-11456.78,-11123.45,-11345.67,389.12,3001000
3250,-11478.90,-11267.89,-11389.12,356.78,3251000
3500,-11495.67,-11345.67,-11423.45,334.56,3501000
3750,-11509.12,-11389.12,-11456.78,312.34,3751000
4000,-11523.45,-11423.45,-11478.90,289.12,4001000
4250,-11534.56,-11456.78,-11495.67,267.89,4251000
4500,-11545.67,-11478.90,-11509.12,256.78,4501000
4750,-11556.78,-11495.67,-11523.45,234.56,4751000
5000,-11567.89,-11509.12,-11534.56,223.45,5001000
