Instance,Runs,Mean Dist,Std Dev,Best Dist,Worst Dist,Best Gap %,Worst Gap %,Mean Time (s),Best Run #,Best Dist (actual),Best Gap Real %,Best Time (s)
berlin52,30,7565.93,61.1566,7542,7741,0,2.63856,1.40437,1,7542,0,1.401
kroA100,30,21406.8,140.271,21282,22058,0,3.64627,3.6675,3,21282,0,3.771
ch150,30,6571.77,17.9289,6549,6608,0.321691,1.22549,6.46013,4,6549,0.321691,7.071
kroA200,30,29616.6,119.561,29478,29904,0.374557,1.82512,10.7027,18,29478,0.374557,8.441
a280,30,2629.33,30.3385,2584,2700,0.193874,4.69174,21.8873,3,2584,0.193874,24.566
pcb442,30,52090.9,366.311,51542,52833,1.50459,4.04703,56.6307,14,51542,1.50459,45.206
pr1002,30,269697,1329.31,267049,272255,3.08981,5.0995,195.776,21,267049,3.08981,167.611
dka1376,30,4868.83,23.2667,4815,4927,3.19331,5.59366,403.65,17,4815,3.19331,363.271
djc1785,30,6434.8,36.4055,6355,6523,3.92478,6.67212,576.989,8,6355,3.92478,509.972
pia3056,30,8763.83,95.0551,8699,9241,5.34028,11.9036,1654.35,20,8699,5.34028,1800.156
